p_s p_d d k L L2 K1 K2 E_S E_D E_I f_A_orig f_A_mut
0.01 0.01 0.01 21 10000 9989 9980 9969 1099 1265 1034 4029 3984
0.01 0.01 0.01 21 10000 9988 9980 9968 1161 1301 1111 4029 3987
0.01 0.01 0.01 21 10000 10017 9980 9997 1156 895 1037 4029 4005
0.01 0.01 0.01 21 10000 10008 9980 9988 1172 1000 879 4029 3988
0.01 0.01 0.01 21 10000 10006 9980 9986 1056 1055 1088 4029 4006
0.01 0.01 0.05 21 10000 10410 9980 10390 461 533 2015 4029 4082
0.01 0.01 0.05 21 10000 10368 9980 10348 460 565 2560 4029 4099
0.01 0.01 0.05 21 10000 10405 9980 10385 605 465 2380 4029 4102
0.01 0.01 0.05 21 10000 10429 9980 10409 438 518 2452 4029 4090
0.01 0.01 0.05 21 10000 10400 9980 10380 524 503 2534 4029 4112
0.01 0.01 0.1 21 10000 10903 9980 10883 215 239 1751 4029 4206
0.01 0.01 0.1 21 10000 10861 9980 10841 228 269 1793 4029 4214
0.01 0.01 0.1 21 10000 10910 9980 10890 186 212 1651 4029 4232
0.01 0.01 0.1 21 10000 10926 9980 10906 183 243 1805 4029 4236
0.01 0.01 0.1 21 10000 10934 9980 10914 189 141 1738 4029 4216
0.01 0.05 0.01 21 10000 9542 9980 9522 360 2353 358 4029 3796
0.01 0.05 0.01 21 10000 9568 9980 9548 529 2495 502 4029 3836
0.01 0.05 0.01 21 10000 9611 9980 9591 512 2427 420 4029 3843
0.01 0.05 0.01 21 10000 9605 9980 9585 546 2201 326 4029 3807
0.01 0.05 0.01 21 10000 9612 9980 9592 414 2666 421 4029 3860
0.01 0.05 0.05 21 10000 9963 9980 9943 146 1023 749 4029 3894
0.01 0.05 0.05 21 10000 9990 9980 9970 169 1258 1221 4029 3944
0.01 0.05 0.05 21 10000 10001 9980 9981 298 1195 1046 4029 3945
0.01 0.05 0.05 21 10000 10019 9980 9999 212 1012 980 4029 3914
0.01 0.05 0.05 21 10000 10011 9980 9991 193 1199 964 4029 3965
0.01 0.05 0.1 21 10000 10456 9980 10436 40 359 653 4029 4018
0.01 0.05 0.1 21 10000 10440 9980 10420 138 543 734 4029 4044
0.01 0.05 0.1 21 10000 10500 9980 10480 60 473 691 4029 4064
0.01 0.05 0.1 21 10000 10506 9980 10486 65 401 739 4029 4056
0.01 0.05 0.1 21 10000 10549 9980 10529 100 407 719 4029 4062
