p_s p_d d S D I K1 K2 k S_k_half S_norm D_norm, I_norm
0.01 0.01 0.01 1113 1083 1195 9980 9990 21 892 0.00531062124248497 0.005167477812768394 0.005986973947895792
0.01 0.01 0.01 1289 998 1089 9980 9994 21 873 0.006150396030155549 0.004761904761904762 0.005455911823647294
0.01 0.01 0.01 1196 1007 868 9980 9979 21 828 0.005706651398034164 0.0048048477908197345 0.004348697394789579
0.01 0.01 0.01 1180 1191 997 9980 9978 21 866 0.005630308235518656 0.005682794159748068 0.00499498997995992
0.01 0.01 0.01 1039 1004 1068 9980 9983 21 756 0.004957534115850749 0.004790533447848077 0.005350701402805611
0.01 0.01 0.01 955 1203 1100 9980 9963 21 672 0.004556732512644337 0.0057400515316346976 0.005511022044088177
0.01 0.01 0.01 1321 936 1162 9980 10000 21 926 0.006303082355186564 0.0044660750071571715 0.005821643286573146
0.01 0.01 0.01 1027 1106 1131 9980 9986 21 707 0.004900276743964119 0.005277221108884436 0.005666332665330662
0.01 0.01 0.01 1191 999 1212 9980 10002 21 870 0.005682794159748068 0.004766676209561981 0.006072144288577154
0.01 0.01 0.01 879 1107 1157 9980 9988 21 607 0.004194102490695677 0.005281992556541655 0.005796593186372745
0.01 0.01 0.01 1062 1126 1313 9980 10002 21 740 0.005067277411966791 0.005372650062028819 0.00657815631262525
0.01 0.01 0.01 1078 1164 1012 9980 9979 21 818 0.005143620574482298 0.005553965073003149 0.005070140280561122
0.01 0.01 0.01 1199 1007 983 9980 9996 21 869 0.0057209657410058215 0.0048048477908197345 0.004924849699398798
0.01 0.01 0.01 1255 1201 1095 9980 9984 21 806 0.005988166809810096 0.00573050863632026 0.005485971943887775
0.01 0.01 0.01 1079 1023 1073 9980 9972 21 721 0.0051483920221395175 0.004881190953335242 0.005375751503006012
0.01 0.01 0.01 1299 1125 1133 9980 9980 21 953 0.006198110506727741 0.0053678786143716 0.005676352705410822
0.01 0.01 0.01 1065 1097 1055 9980 9975 21 765 0.0050815917549384484 0.005234278079969463 0.005285571142284569
0.01 0.01 0.01 1158 1012 1141 9980 9982 21 839 0.005525336387059834 0.004828705029105831 0.005716432865731463
0.01 0.01 0.01 1035 1028 965 9980 9987 21 729 0.004938448325221873 0.004905048191621338 0.004834669338677355
0.01 0.01 0.01 1187 1355 879 9980 9970 21 830 0.005663708369119191 0.006465311575532017 0.004403807615230461
0.01 0.01 0.02 811 859 2014 9980 10126 21 776 0.0038696440500047714 0.004098673537551293 0.010090180360721443
0.01 0.01 0.02 1006 902 1736 9980 10099 21 767 0.004800076343162515 0.004303845786811719 0.008697394789579158
0.01 0.01 0.02 1015 835 1727 9980 10085 21 753 0.004843019372077488 0.003984158793778033 0.008652304609218437
0.01 0.01 0.02 842 875 1919 9980 10095 21 748 0.004017558927378566 0.004175016700066801 0.009614228456913827
0.01 0.01 0.02 1007 772 1769 9980 10106 21 792 0.0048048477908197345 0.0036835575913732226 0.008862725450901804
0.01 0.01 0.02 806 1006 1937 9980 10068 21 628 0.0038457868117186753 0.004800076343162515 0.00970440881763527
0.01 0.01 0.02 1049 699 1864 9980 10111 21 815 0.005005248592422941 0.003335241912396221 0.009338677354709418
0.01 0.01 0.02 882 888 1727 9980 10082 21 644 0.004208416833667334 0.00423704551961065 0.008652304609218437
0.01 0.01 0.02 824 997 1452 9980 10053 21 635 0.003931672869548621 0.004757133314247543 0.007274549098196393
0.01 0.01 0.02 994 689 1950 9980 10112 21 740 0.0047428189712758854 0.003287527435824029 0.009769539078156312
0.01 0.01 0.02 838 957 2039 9980 10097 21 627 0.0039984731367496895 0.004566275407958775 0.010215430861723447
0.01 0.01 0.02 758 1145 1511 9980 10063 21 663 0.003616757324172154 0.0054633075675159844 0.0075701402805611225
0.01 0.01 0.02 1017 778 1706 9980 10090 21 809 0.004852562267391927 0.003712186277316538 0.008547094188376753
0.01 0.01 0.02 950 986 1911 9980 10103 21 701 0.0045328752743582406 0.004704647390018132 0.009574148296593187
0.01 0.01 0.02 827 1076 1666 9980 10057 21 674 0.003945987212520279 0.00513407767916786 0.008346693386773548
0.01 0.01 0.02 1059 865 1753 9980 10105 21 855 0.005052963068995133 0.0041273022234946085 0.00878256513026052
0.01 0.01 0.02 777 898 1887 9980 10094 21 621 0.0037074148296593187 0.004284759996182842 0.009453907815631263
0.01 0.01 0.02 876 997 1948 9980 10084 21 690 0.004179788147724019 0.004757133314247543 0.009759519038076153
0.01 0.01 0.02 860 830 1692 9980 10090 21 684 0.004103444985208512 0.003960301555491937 0.00847695390781563
0.01 0.01 0.02 972 1173 1503 9980 10068 21 721 0.004637847122817063 0.005596908101918122 0.007530060120240481
0.01 0.01 0.03 666 707 2210 9980 10217 21 708 0.0031777841397079873 0.0033734134936539745 0.011072144288577154
0.01 0.01 0.03 879 771 1999 9980 10189 21 732 0.004194102490695677 0.0036787861437160034 0.01001503006012024
0.01 0.01 0.03 895 686 2107 9980 10174 21 701 0.004270445653211184 0.0032732130928523713 0.010556112224448898
0.01 0.01 0.03 696 744 2257 9980 10193 21 690 0.0033209275694245635 0.003549957056971085 0.011307615230460921
0.01 0.01 0.03 878 668 2006 9980 10194 21 745 0.0041893310430384575 0.0031873270350224257 0.010050100200400801
0.01 0.01 0.03 776 939 1994 9980 10176 21 651 0.0037026433820020995 0.004480389350128829 0.00998997995991984
0.01 0.01 0.03 764 752 2332 9980 10179 21 636 0.003645386010115469 0.0035881286382288386 0.011683366733466934
0.01 0.01 0.03 854 799 2075 9980 10190 21 759 0.004074816299265197 0.003812386678118141 0.010395791583166333
0.01 0.01 0.03 681 680 2186 9980 10212 21 620 0.0032493558545662756 0.0032445844069090564 0.01095190380761523
0.01 0.01 0.03 676 893 2093 9980 10144 21 554 0.0032254986162801795 0.004260902757896746 0.010485971943887775
0.01 0.01 0.03 941 809 1804 9980 10179 21 804 0.004489932245443268 0.003860101154690333 0.009038076152304609
0.01 0.01 0.03 786 702 2194 9980 10162 21 706 0.0037503578585742913 0.003349556255367879 0.010991983967935872
0.01 0.01 0.03 880 670 2058 9980 10156 21 759 0.004198873938352896 0.003196869930336864 0.01031062124248497
